image,Prior location (optional),Search radius (meters),Number of rotations,Inputs,Outputs,Interactive map,Predicted coordinates,flag,username,timestamp
flagged/image/447684d9fcb788e45278/query_zurich_1.JPG,ETH CAB Zurich,128,256,,,,,,,2026-05-10 22:01:41.433254
flagged\image\e005e0d1c220ce9dac1d\query_zurich_1.JPG,ETH CAB Zurich,128,256,,,,,,,2026-05-22 12:59:52.609994
