config,num_rotations,crop_size_meters,max_init_error,num_samples,eval_runtime_sec,wall_clock_sec,peak_rss_gib,mean_lateral_error_m,mean_longitudinal_error_m,mean_yaw_error_deg,xy_recall_5m,yaw_recall_5deg
baseline_default,256,default,default,5,37.013,39.634,7.713,1.7901,3.4362,3.6082,80.0,60.0
low_cost_rot32_crop48,32,48,16,5,21.319,29.614,3.686,1.7642,3.7002,7.2644,60.0,40.0
